Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
GCF_000478255.1_ASM47825v2_genomic	Lactococcus (5)	14	683	238	0	681	2	0	0	0	100	0.84	0
GCF_004194355.1_ASM419435v1_genomic	Lactococcus (5)	14	683	238	0	682	1	0	0	0	100	0.42	0
GCF_016028835.1_ASM1602883v1_genomic	Lactococcus (5)	14	683	238	2	675	6	0	0	0	99.72	1.67	0
GCF_016406265.1_ASM1640626v1_genomic	Lactococcus (5)	14	683	238	0	678	5	0	0	0	100	0.92	0
GCF_016921015.1_ASM1692101v1_genomic	Lactococcus (5)	14	683	238	0	678	5	0	0	0	100	0.85	20
GCF_020221755.1_ASM2022175v1_genomic	Lactococcus (5)	14	683	238	0	678	5	0	0	0	100	1.71	0
GCF_020463755.1_ASM2046375v1_genomic	Lactococcus (5)	14	683	238	0	681	1	0	1	0	100	1.31	0
GCF_023734755.1_ASM2373475v1_genomic	Lactococcus (5)	14	683	238	0	680	2	0	1	0	100	1.73	0
PrHT3-FINAL-genomic-scaffolds	Lactococcus (5)	14	683	238	2	676	5	0	0	0	99.72	1.25	0
PrHT3-with-plasmids	Lactococcus (5)	14	683	238	6	671	6	0	0	0	98.81	1.67	0
